"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"Cvcc-24V1,C_SD_Decap2,C_ADC_Decap1,C_XBee-Decap1,C_H3L_Decap1,C_GPS_Decap1,C_BNO_Decap4,C_ADC_Decap2,C_BNO_Decap3";"C_0603_1608Metric_Pad1.08x0.95mm_HandSolder";9;"10uF";;;
2;"Rpg-24V1";"R_0402_1005Metric_Pad0.72x0.64mm_HandSolder";1;"100k";;;
3;"L1-24V1";"L_Coilcraft_XAL7070-XXX";1;"3.3uH";;;
4;"Rent1";"C_0603_1608Metric_Pad1.08x0.95mm_HandSolder";1;"137k";;;
5;"C_SD_Decap1,C_BNO_Decap2,C_BNO_Decap1,C_XBee_Decap2,C_STM_Decap5,Cboot2,C_STM_Decap2,C_H3L_Decap2,Cboot1,C_ADC_Decap4,Cinx-5V1,C_GPS_Decap2,C_STM_Decap3,C_STM_Decap4,C_ADC_Decap3,C_STM_Decap1";"C_0603_1608Metric_Pad1.08x0.95mm_HandSolder";16;"100nF";;;
6;"USB_rx_LED1";"LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder";1;"0805-LED2";;;
7;"STMcap2,STMcap1";"C_0603_1608Metric_Pad1.08x0.95mm_HandSolder";2;"2.2uF";;;
8;"Rsns2-24V1,Rsns1-24V1";"R_0612_1632Metric_Pad1.18x3.40mm_HandSolder";2;"7m";;;
9;"J6";"JST_XH_B3B-XH-AM_1x03_P2.50mm_Vertical";1;"AnalogIn-Terminal0";;;
10;"STM_T2,STM_T1";"TO-92L_HandSolder";2;"2N3904";;;
11;"M1-24V1";"TRANS_CSD18543Q3A";1;"60V";;;
12;"Rcomp-24V1";"C_0603_1608Metric_Pad1.08x0.95mm_HandSolder";1;"5.62k";;;
13;"J2";"USB_C_Receptacle_Amphenol_124019772112A";1;"USB_C_Receptacle_USB2.0_16P";;;
14;"U11";"PSON65P250X250X100-8N";1;"BME280";;;
15;"Sol2-FlybackDiode1,Sol1-FlybackDiode1";"D_DO-41_SOD81_P2.54mm_Vertical_KathodeUp";2;"1N4004";;;
16;"Renb1";"C_0603_1608Metric_Pad1.08x0.95mm_HandSolder";1;"100k";;;
17;"Rfbt-24V1";"C_0603_1608Metric_Pad1.08x0.95mm_HandSolder";1;"205k";;;
18;"U9";"XCVR_XBP9X-DMUS-001";1;"XBP9X-DMUS-001";;;
19;"Dboot-24V1";"D_SOD-123F";1;"510mV";;;
